date,team,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,FG%,FG3%,FT%,REB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,win%,FG%_opp,FG3%_opp,FT%_opp,REB/G_opp,AST/G_opp,STL/G_opp,BLK/G_opp,TOV/G_opp,PF/G_opp,PTS/G_opp,win%_opp,home
2021-10-25,Minnesota,New Orleans,98,107,-220.0,190.0,224.5,-5.5,113.5,0.4426229508196721,0.3684210526315789,0.7317073170731707,46.5,24.0,15.5,10.0,18.5,23.5,110.0,1.0,0.4163568773234201,0.37373737373737376,0.7708333333333334,49.0,23.0,7.333333333333333,5.333333333333333,19.0,19.333333333333332,99.33333333333333,0.0,1
2021-10-25,Miami,Orlando,107,90,-1100.0,700.0,211.5,-13.5,108.0,0.45989304812834225,0.35294117647058826,0.7111111111111111,56.5,23.0,6.0,2.0,16.5,25.5,114.0,0.5,0.4046692607003891,0.33043478260869563,0.7916666666666666,49.0,21.0,6.0,4.333333333333333,15.666666666666666,21.0,101.0,0.3333333333333333,1
2021-10-25,LA Clippers,Portland,116,86,-140.0,120.0,229.5,-2.5,117.0,0.4358974358974359,0.34177215189873417,0.7894736842105263,41.5,23.5,8.0,3.0,7.0,23.0,113.5,0.0,0.5133689839572193,0.38823529411764707,0.7692307692307693,48.5,24.5,6.5,5.0,10.5,18.5,127.5,0.5,1
2021-10-25,Chicago,Toronto,111,108,-135.0,115.0,213.5,-2.0,109.5,0.4594594594594595,0.4155844155844156,0.8305084745762712,45.333333333333336,24.666666666666668,10.0,7.666666666666667,14.333333333333334,16.666666666666668,106.33333333333333,1.0,0.375886524822695,0.2641509433962264,0.803030303030303,54.333333333333336,17.666666666666668,11.0,4.0,14.0,19.0,97.66666666666667,0.3333333333333333,0
2021-10-26,Houston,Dallas,106,116,475.0,-650.0,222.5,11.0,109.0,0.46511627906976744,0.4077669902912621,0.75,45.0,23.333333333333332,10.666666666666666,5.666666666666667,19.666666666666668,21.0,109.0,0.3333333333333333,0.375,0.3176470588235294,0.8064516129032258,50.0,20.0,6.5,4.5,12.0,21.5,95.0,0.5,0
2021-10-26,Utah,Denver,122,110,-320.0,265.0,218.5,-7.5,106.5,0.425414364640884,0.33707865168539325,0.868421052631579,52.0,17.0,10.0,4.0,13.5,18.0,108.5,1.0,0.4823529411764706,0.32710280373831774,0.6206896551724138,44.666666666666664,24.0,9.666666666666666,2.0,19.666666666666668,21.0,99.66666666666667,0.6666666666666666,1
2021-10-26,Oklahoma City,Golden State,98,106,450.0,-600.0,223.5,11.0,108.5,0.40601503759398494,0.26605504587155965,0.660377358490566,43.666666666666664,21.666666666666668,7.333333333333333,3.3333333333333335,14.666666666666666,17.666666666666668,93.33333333333333,0.0,0.4652014652014652,0.3925233644859813,0.7763157894736842,48.666666666666664,27.666666666666668,8.666666666666666,3.0,14.666666666666666,17.0,118.33333333333333,1.0,1
2021-10-26,Dallas,Houston,116,106,-650.0,475.0,222.5,-11.0,109.0,0.375,0.3176470588235294,0.8064516129032258,50.0,20.0,6.5,4.5,12.0,21.5,95.0,0.5,0.46511627906976744,0.4077669902912621,0.75,45.0,23.333333333333332,10.666666666666666,5.666666666666667,19.666666666666668,21.0,109.0,0.3333333333333333,1
2021-10-26,San Antonio,LA Lakers,121,125,-135.0,115.0,220.0,-2.0,109.0,0.4875444839857651,0.3118279569892473,0.7105263157894737,40.0,28.333333333333332,9.666666666666666,3.0,13.333333333333334,19.0,110.0,0.3333333333333333,0.4679245283018868,0.4339622641509434,0.6571428571428571,42.333333333333336,25.0,8.0,6.333333333333333,16.666666666666668,21.666666666666668,113.33333333333333,0.3333333333333333,1
2021-10-26,Philadelphia,New York,99,112,100.0,-120.0,217.0,1.0,105.5,0.48484848484848486,0.43137254901960786,0.803921568627451,43.0,22.0,7.0,7.666666666666667,10.666666666666666,16.333333333333332,113.66666666666667,0.6666666666666666,0.45051194539249145,0.3673469387755102,0.6521739130434783,48.333333333333336,27.0,9.0,7.333333333333333,13.333333333333334,20.666666666666668,121.0,0.6666666666666666,0
2021-10-26,Golden State,Oklahoma City,106,98,-600.0,450.0,223.5,-11.0,108.5,0.4652014652014652,0.3925233644859813,0.7763157894736842,48.666666666666664,27.666666666666668,8.666666666666666,3.0,14.666666666666666,17.0,118.33333333333333,1.0,0.40601503759398494,0.26605504587155965,0.660377358490566,43.666666666666664,21.666666666666668,7.333333333333333,3.3333333333333335,14.666666666666666,17.666666666666668,93.33333333333333,0.0,0
